21:23:33.230 [main] INFO  testCases.TC005_ContactDisplayTest - 17
21:23:33.258 [main] INFO  testCases.TC005_ContactDisplayTest - 18
21:23:33.284 [main] INFO  testCases.TC005_ContactDisplayTest - 19
21:23:33.319 [main] INFO  testCases.TC005_ContactDisplayTest - 20
21:23:33.344 [main] INFO  testCases.TC005_ContactDisplayTest - 21
21:23:33.393 [main] INFO  testCases.TC005_ContactDisplayTest - 22
21:23:33.448 [main] INFO  testCases.TC005_ContactDisplayTest - 23
21:23:33.473 [main] INFO  testCases.TC005_ContactDisplayTest - 24
21:23:33.536 [main] INFO  testCases.TC005_ContactDisplayTest - 25
21:23:33.615 [main] INFO  testCases.TC005_ContactDisplayTest - 26
21:23:33.679 [main] INFO  testCases.TC005_ContactDisplayTest - 27
21:23:33.696 [main] INFO  testCases.TC005_ContactDisplayTest - 28
21:23:33.735 [main] INFO  testCases.TC005_ContactDisplayTest - 29
21:23:33.754 [main] INFO  testCases.TC005_ContactDisplayTest - 30
21:23:33.780 [main] INFO  testCases.TC005_ContactDisplayTest - 31
21:23:33.819 [main] INFO  testCases.TC005_ContactDisplayTest - 32
21:23:33.843 [main] INFO  testCases.TC005_ContactDisplayTest - 33
21:23:33.875 [main] INFO  testCases.TC005_ContactDisplayTest - 34
20:06:12.157 [main] INFO  testCases.TC001_LoginTest - Incorrect username or password
20:06:14.698 [main] INFO  testCases.TC001_LoginTest - Contact List
20:41:51.400 [main] INFO  testCases.TC004_DeleteContactTest - Initial SIze: 6
20:41:55.634 [main] INFO  testCases.TC004_DeleteContactTest - After size: 5
20:47:05.605 [main] INFO  testCases.TC005_ContactDisplayTest - 1
20:47:05.752 [main] INFO  testCases.TC005_ContactDisplayTest - 2
20:47:05.841 [main] INFO  testCases.TC005_ContactDisplayTest - 3
20:47:05.958 [main] INFO  testCases.TC005_ContactDisplayTest - 4
20:47:06.079 [main] INFO  testCases.TC005_ContactDisplayTest - 5
20:47:06.223 [main] INFO  testCases.TC005_ContactDisplayTest - 1
20:47:06.271 [main] INFO  testCases.TC005_ContactDisplayTest - 2
20:47:06.319 [main] INFO  testCases.TC005_ContactDisplayTest - 3
20:47:06.387 [main] INFO  testCases.TC005_ContactDisplayTest - 4
20:47:06.446 [main] INFO  testCases.TC005_ContactDisplayTest - 5
21:01:21.307 [main] INFO  testCases.TC001_LoginTest - Incorrect username or password
21:01:23.200 [main] INFO  testCases.TC001_LoginTest - Contact List
21:02:06.696 [main] INFO  testCases.TC004_DeleteContactTest - Initial SIze: 7
21:02:09.145 [main] INFO  testCases.TC004_DeleteContactTest - After size: 6
21:02:18.033 [main] INFO  testCases.TC005_ContactDisplayTest - 1
21:02:18.079 [main] INFO  testCases.TC005_ContactDisplayTest - 2
21:02:18.122 [main] INFO  testCases.TC005_ContactDisplayTest - 3
21:02:18.170 [main] INFO  testCases.TC005_ContactDisplayTest - 4
21:02:18.220 [main] INFO  testCases.TC005_ContactDisplayTest - 5
21:02:18.266 [main] INFO  testCases.TC005_ContactDisplayTest - 6
21:02:18.311 [main] INFO  testCases.TC005_ContactDisplayTest - 1
21:02:18.334 [main] INFO  testCases.TC005_ContactDisplayTest - 2
21:02:18.351 [main] INFO  testCases.TC005_ContactDisplayTest - 3
21:02:18.370 [main] INFO  testCases.TC005_ContactDisplayTest - 4
21:02:18.394 [main] INFO  testCases.TC005_ContactDisplayTest - 5
21:02:18.411 [main] INFO  testCases.TC005_ContactDisplayTest - 6
21:11:28.515 [main] INFO  testCases.TC001_LoginTest - Incorrect username or password
21:11:30.964 [main] INFO  testCases.TC001_LoginTest - Contact List
21:12:29.673 [main] INFO  testCases.TC004_DeleteContactTest - Initial SIze: 8
21:12:32.371 [main] INFO  testCases.TC004_DeleteContactTest - After size: 7
21:12:42.741 [main] INFO  testCases.TC005_ContactDisplayTest - 1
21:12:43.056 [main] INFO  testCases.TC005_ContactDisplayTest - 2
21:12:43.174 [main] INFO  testCases.TC005_ContactDisplayTest - 3
21:12:43.289 [main] INFO  testCases.TC005_ContactDisplayTest - 4
21:12:43.419 [main] INFO  testCases.TC005_ContactDisplayTest - 5
21:12:43.543 [main] INFO  testCases.TC005_ContactDisplayTest - 6
21:12:43.649 [main] INFO  testCases.TC005_ContactDisplayTest - 7
21:12:43.741 [main] INFO  testCases.TC005_ContactDisplayTest - 1
21:12:43.827 [main] INFO  testCases.TC005_ContactDisplayTest - 2
21:12:43.876 [main] INFO  testCases.TC005_ContactDisplayTest - 3
21:12:43.921 [main] INFO  testCases.TC005_ContactDisplayTest - 4
21:12:43.969 [main] INFO  testCases.TC005_ContactDisplayTest - 5
21:12:44.034 [main] INFO  testCases.TC005_ContactDisplayTest - 6
21:12:44.095 [main] INFO  testCases.TC005_ContactDisplayTest - 7
